onset	duration	trial_type	response_time	int_rating	unp_rating	level	perspective
1.54978750000009	1.01730980000139	warning_cue	n/a	n/a	n/a	n/a	neut
3.1330338000007	10.0361171000004	press	n/a	0.216796875	0.134765625	5	neut
15.1836651000012	4.44843769999898	int_rating	3.94843769999898	0.216796875	n/a	5	neut
19.6490326000003	3.48284679999961	unp_rating	2.98284679999961	n/a	0.134765625	5	neut
29.731360400001	1.01674540000022	warning_cue	n/a	n/a	n/a	n/a	neut
33.3145731000004	10.0374742999993	press	n/a	0.29296875	0.21484375	4	neut
49.3642482000014	3.31594199999927	int_rating	2.81594199999927	0.29296875	n/a	4	neut
52.6971380000014	3.23287619999974	unp_rating	2.73287619999974	n/a	0.21484375	4	neut
61.9128321000007	1.01676679999946	warning_cue	n/a	n/a	n/a	n/a	neut
63.4961077999997	12.5024751000001	heat	n/a	0.376953125	0.259765625	47.5	neut
83.213751700001	4.51445400000011	int_rating	4.01445400000011	0.376953125	n/a	47.5	neut
78.0129255000011	5.18218770000021	unp_rating	4.68218770000021	n/a	0.259765625	47.5	neut
92.5611104	1.01675520000026	warning_cue	n/a	n/a	n/a	n/a	neut
96.1442256999999	12.4924404000012	heat	n/a	0.12109375	0.09375	47	neut
119.711158100001	3.88169199999902	int_rating	3.38169199999902	0.12109375	n/a	47	neut
114.643911500001	5.04910769999879	unp_rating	4.54910769999879	n/a	0.09375	47	neut
129.192340600001	1.01672789999975	warning_cue	n/a	n/a	n/a	n/a	neut
132.775469	12.9960363000009	heat	n/a	0.03125	0.0234375	46.5	neut
155.1590486	2.26518179999948	int_rating	1.76518179999948	0.03125	n/a	46.5	neut
151.7916936	3.34932830000071	unp_rating	2.84932830000071	n/a	0.0234375	46.5	neut
164.340338600001	1.01672390000022	warning_cue	n/a	n/a	n/a	n/a	neut
165.923663200001	10.0412700999987	press	n/a	0.267578125	0.1328125	5	neut
181.9897807	4.19944400000168	int_rating	3.69944400000168	0.267578125	n/a	5	neut
177.973412500001	3.99937519999912	unp_rating	3.49937519999912	n/a	0.1328125	5	neut
190.522214100001	1.01669159999983	warning_cue	n/a	n/a	n/a	n/a	neut
192.105409	12.9967595000016	heat	n/a	0.025390625	0.021484375	46.5	neut
210.422708400001	2.09830519999923	int_rating	1.59830519999923	0.025390625	n/a	46.5	neut
207.1217894	3.26607289999993	unp_rating	2.76607289999993	n/a	0.021484375	46.5	neut
221.670371400001	1.01671349999924	warning_cue	n/a	n/a	n/a	n/a	neut
225.253503100001	10.0454179999997	press	n/a	0.232421875	0.1484375	3	neut
246.486056900001	3.88283849999971	int_rating	3.38283849999971	0.232421875	n/a	3	neut
241.304150900001	5.16494539999985	unp_rating	4.66494539999985	n/a	0.1484375	3	neut
