onset	duration	trial_type	response_time	int_rating	unp_rating	level	perspective
2.59986190038398	1.01688790329354	warning_cue	n/a	n/a	n/a	n/a	neut
4.18373405805323	12.9167554205596	heat	n/a	0.39453125	0.486328125	46.5	neut
19.1168591707974	5.51506565807722	int_rating	5.01506565807722	0.39453125	n/a	46.5	neut
24.6505085976059	5.0312371392356	unp_rating	4.5312371392356	n/a	0.486328125	46.5	neut
31.664757107781	1.01683389484242	warning_cue	n/a	n/a	n/a	n/a	neut
33.2479852146462	11.0938053924183	press	n/a	0.044921875	0	5	neut
46.347891942045	3.88257833116222	int_rating	3.38257833116222	0.044921875	n/a	5	neut
50.2476268685568	1.81608744400728	unp_rating	1.31608744400728	n/a	0	5	neut
60.8967720227556	1.01806312724148	warning_cue	n/a	n/a	n/a	n/a	neut
64.4794916400315	12.9095982203144	heat	n/a	0.046875	0.021484375	46.5	neut
86.4460550065305	4.31575421184607	int_rating	3.81575421184607	0.046875	n/a	46.5	neut
83.4130199258761	3.01550987760857	unp_rating	2.51550987760857	n/a	0.021484375	46.5	neut
97.9609745717389	1.01720034219761	warning_cue	n/a	n/a	n/a	n/a	neut
101.544026070958	11.0532266810405	press	n/a	0.037109375	0.02734375	5	neut
118.610437295643	5.51577073843873	int_rating	5.01577073843873	0.037109375	n/a	5	neut
124.143179380437	4.08293322070676	unp_rating	3.58293322070676	n/a	0.02734375	5	neut
133.1590346421	1.01675018174137	warning_cue	n/a	n/a	n/a	n/a	neut
136.742029162404	12.9088496631484	heat	n/a	0.3046875	0.43359375	47.5	neut
161.192419157447	3.03169378070743	int_rating	2.53169378070743	0.3046875	n/a	47.5	neut
155.658875587207	5.51533975097846	unp_rating	5.01533975097846	n/a	0.43359375	47.5	neut
170.206797827996	1.01670697497684	warning_cue	n/a	n/a	n/a	n/a	neut
173.789914407404	11.051824621587	press	n/a	0.029296875	0.01953125	3	neut
190.856397463329	5.51569620677037	int_rating	5.01569620677037	0.029296875	n/a	3	neut
196.388918653545	3.71630142550202	unp_rating	3.21630142550202	n/a	0.01953125	3	neut
203.404894894149	1.01672317751218	warning_cue	n/a	n/a	n/a	n/a	neut
204.9881408238	12.9081867093846	heat	n/a	0	0.11328125	47	neut
223.97068421149	0.516491211204993	int_rating	0.0164912112049933	0	n/a	47	neut
219.904253543762	4.04970046912058	unp_rating	3.54970046912058	n/a	0.11328125	47	neut
232.45324380172	1.01673992013093	warning_cue	n/a	n/a	n/a	n/a	neut
234.036485680739	11.0424131084983	press	n/a	0.025390625	0.044921875	4	neut
251.435795020636	3.3829809641793	int_rating	2.8829809641793	0.025390625	n/a	4	neut
247.102818863208	4.31618357905245	unp_rating	3.81618357905245	n/a	0.044921875	4	neut
